Sample_ID,Plant,Sp,Water_treatment,Bloc
walton_50_bl1,walton,wheat,50,1
walton_15_bl1,walton,wheat,15,1
red_50_bl1,red,wheat,50,1
red_15_bl1,red,wheat,15,1
art_bl1,art,corn,50,1
gold_bl1,gold,corn,50,1
envy_bl1,envy,soybean,50,1
manitoba_bl1,manitoba,soybean,50,1
roq_bl1,roq,bean,50,1
bognol_bl1,bognol,bean,50,1
no_plant_50_bl1,no_plant,ctl,50,1
no_plant_15_bl1,no_plant,ctl,15,1
walton_50_bl2,walton,wheat,50,2
walton_15_bl2,walton,wheat,15,2
red_50_bl2,red,wheat,50,2
red_15_bl2,red,wheat,15,2
art_bl2,art,corn,50,2
gold_bl2,gold,corn,50,2
envy_bl2,envy,soybean,50,2
manitoba_bl2,manitoba,soybean,50,2
roq_bl2,roq,bean,50,2
bognol_bl2,bognol,bean,50,2
no_plant_50_bl2,no_plant,ctl,50,2
no_plant_15_bl2,no_plant,ctl,15,2
walton_50_bl3,walton,wheat,50,3
walton_15_bl3,walton,wheat,15,3
red_50_bl3,red,wheat,50,3
red_15_bl3,red,wheat,15,3
art_bl3,art,corn,50,3
gold_bl3,gold,corn,50,3
envy_bl3,envy,soybean,50,3
manitoba_bl3,manitoba,soybean,50,3
roq_bl3,roq,bean,50,3
bognol_bl3,bognol,bean,50,3
no_plant_50_bl3,no_plant,ctl,50,3
no_plant_15_bl3,no_plant,ctl,15,3
walton_50_bl4,walton,wheat,50,4
walton_15_bl4,walton,wheat,15,4
red_50_bl4,red,wheat,50,4
red_15_bl4,red,wheat,15,4
art_bl4,art,corn,50,4
gold_bl4,gold,corn,50,4
envy_bl4,envy,soybean,50,4
manitoba_bl4,manitoba,soybean,50,4
roq_bl4,roq,bean,50,4
bognol_bl4,bognol,bean,50,4
no_plant_50_bl4,no_plant,ctl,50,4
no_plant_15_bl4,no_plant,ctl,15,4
walton_50_bl5,walton,wheat,50,5
walton_15_bl5,walton,wheat,15,5
red_50_bl5,red,wheat,50,5
red_15_bl5,red,wheat,15,5
art_bl5,art,corn,50,5
gold_bl5,gold,corn,50,5
envy_bl5,envy,soybean,50,5
manitoba_bl5,manitoba,soybean,50,5
roq_bl5,roq,bean,50,5
bognol_bl5,bognol,bean,50,5
no_plant_50_bl5,no_plant,ctl,50,5
no_plant_15_bl5,no_plant,ctl,15,5
walton_50_bl6,walton,wheat,50,6
walton_15_bl6,walton,wheat,15,6
red_50_bl6,red,wheat,50,6
red_15_bl6,red,wheat,15,6
art_bl6,art,corn,50,6
gold_bl6,gold,corn,50,6
envy_bl6,envy,soybean,50,6
manitoba_bl6,manitoba,soybean,50,6
roq_bl6,roq,bean,50,6
bognol_bl6,bognol,bean,50,6
no_plant_50_bl6,no_plant,ctl,50,6
no_plant_15_bl6,no_plant,ctl,15,6
